Insert(-212.56,Value0)
Insert(1319.87,Value242)
Insert(-693.37,Value243)
Insert(550.31,Value244)
Insert(-1021.6,Value245)
Insert(-876.16,Value246)
Insert(-1073.87,Value247)
Insert(-637.2,Value248)
Insert(1266.01,Value249)
Insert(-953.55,Value250)
Insert(-692.09,Value251)
Insert(-1336.08,Value252)
Insert(272.26,Value253)
Insert(147.17,Value254)
Insert(676.0,Value255)
Insert(494.89,Value256)
Insert(-61.59,Value257)
Insert(-227.3,Value258)
Insert(425.9,Value259)
Insert(-792.86,Value260)
Insert(-46.62,Value261)
Insert(824.43,Value262)
Insert(-1095.45,Value263)
Insert(-744.47,Value264)
Insert(544.02,Value265)
Insert(1285.21,Value266)
Insert(-526.72,Value267)
Insert(718.72,Value268)
Insert(107.09,Value269)
Insert(359.18,Value270)
Insert(-138.68,Value271)
Insert(-1189.06,Value272)
Insert(363.46,Value273)
Insert(84.88,Value274)
Insert(-365.51,Value275)
Insert(1492.24,Value276)
Insert(-1478.82,Value277)
Insert(41.81,Value278)
Insert(-827.14,Value279)
Insert(1312.37,Value280)
Insert(280.93,Value281)
Insert(194.75,Value282)
Insert(-601.02,Value283)
Insert(672.68,Value284)
Insert(-764.6,Value285)
Insert(-393.63,Value286)
Insert(-1071.41,Value287)
Insert(-744.6,Value288)
Insert(-809.78,Value289)
Insert(855.92,Value290)
Insert(-163.5,Value291)
Insert(-253.21,Value292)
Insert(1273.46,Value293)
Insert(1157.94,Value294)
Insert(792.05,Value295)
Insert(-1295.33,Value296)
Insert(959.42,Value297)
Insert(253.27,Value298)
Insert(910.99,Value299)
Insert(-318.99,Value300)
Insert(-1117.7,Value301)
Insert(93.06,Value302)
Insert(-1439.49,Value303)
Insert(-663.86,Value304)
Insert(662.85,Value305)
Insert(-1460.23,Value306)
Insert(-69.59,Value307)
Insert(-746.48,Value308)
Insert(-1292.53,Value309)
Insert(-1399.45,Value310)
Insert(1329.41,Value311)
Insert(-1061.23,Value312)
Insert(-514.12,Value313)
Insert(214.83,Value314)
Insert(1094.62,Value315)
Insert(831.34,Value316)
Insert(453.03,Value317)
Insert(-787.12,Value318)
Insert(694.33,Value319)
Insert(291.7,Value320)
Insert(233.85,Value321)
Insert(-45.41,Value322)
Insert(1176.79,Value323)
Insert(-697.61,Value324)
Insert(1154.35,Value325)
Insert(-554.94,Value326)
Insert(57.99,Value327)
Insert(-299.32,Value328)
Insert(-115.31,Value329)
Insert(-1120.99,Value330)
Insert(-143.76,Value331)
Insert(543.41,Value332)
Insert(471.59,Value333)
Insert(-1215.87,Value334)
Insert(-114.84,Value335)
Insert(664.94,Value336)
Insert(1487.9,Value337)
Insert(-1019.84,Value338)
Insert(190.81,Value339)
Insert(-773.28,Value340)
Insert(-595.66,Value341)
Insert(790.62,Value342)
Insert(-1022.41,Value343)
Insert(1419.02,Value344)
Insert(-273.23,Value345)
Insert(108.77,Value346)
Insert(-375.76,Value347)
Insert(-1421.85,Value348)
Insert(74.8,Value349)
Insert(-471.26,Value350)
Insert(-779.23,Value351)
Insert(-193.1,Value352)
Insert(1398.43,Value353)
Insert(663.54,Value354)
Insert(983.66,Value355)
Insert(756.59,Value356)
Insert(597.54,Value357)
Insert(784.14,Value358)
Insert(-501.59,Value359)
Insert(1095.41,Value360)
Insert(389.64,Value361)
Insert(-1146.7,Value362)
Insert(-1022.29,Value363)
Insert(1264.91,Value364)
Insert(-1230.7,Value365)
Insert(652.87,Value366)
Insert(110.92,Value367)
Insert(-1424.43,Value368)
Insert(-359.82,Value369)
Insert(610.68,Value370)
Insert(-656.72,Value371)
Insert(-1204.5,Value372)
Insert(-290.25,Value373)
Insert(109.98,Value374)
Insert(-535.04,Value375)
Insert(-1475.59,Value376)
Insert(907.34,Value377)
Insert(1274.9,Value378)
Insert(-658.89,Value379)
Insert(403.3,Value380)
Insert(1154.99,Value381)
Insert(867.4,Value382)
Insert(765.64,Value383)
Insert(-768.42,Value384)
Insert(-1461.41,Value385)
Insert(-575.7,Value386)
Insert(331.74,Value387)
Insert(493.43,Value388)
Insert(-563.56,Value389)
Insert(1236.61,Value390)
Insert(-40.32,Value391)
Insert(-2.03,Value392)
Insert(-184.16,Value393)
Insert(-1109.34,Value394)
Insert(1024.27,Value395)
Insert(86.98,Value396)
Insert(-1394.44,Value397)
Insert(-642.19,Value398)
Insert(-1448.99,Value399)
Insert(1371.75,Value400)
Insert(1123.04,Value401)
Insert(-582.49,Value402)
Insert(-1146.11,Value403)
Insert(-1385.81,Value404)
Insert(652.97,Value405)
Insert(1426.09,Value406)
Insert(159.22,Value407)
Insert(1022.45,Value408)
Insert(-112.48,Value409)
Insert(-1092.03,Value410)
Insert(421.87,Value411)
Insert(1139.31,Value412)
Insert(463.02,Value413)
Insert(812.67,Value414)
Insert(-190.67,Value415)
Insert(1265.6,Value416)
Insert(228.5,Value417)
Insert(-486.16,Value418)
Insert(842.02,Value419)
Insert(345.59,Value420)
Insert(80.52,Value421)
Insert(-1202.96,Value422)
Insert(137.1,Value423)
Insert(1089.84,Value424)
Insert(-1101.68,Value425)
Insert(692.26,Value426)
Insert(-943.66,Value427)
Insert(-580.72,Value428)
Insert(-615.92,Value429)
Insert(-1484.65,Value430)
Insert(-710.55,Value431)
Insert(-1128.91,Value432)
Insert(569.07,Value433)
Insert(-1399.76,Value434)
Insert(-726.41,Value435)
Insert(101.27,Value436)
Insert(1047.56,Value437)
Insert(509.53,Value438)
Insert(-143.09,Value439)
Insert(532.74,Value440)
Insert(1098.39,Value441)
Insert(-291.56,Value442)
Insert(870.04,Value443)
Insert(-564.41,Value444)
Insert(-750.17,Value445)
Insert(-1244.77,Value446)
Insert(1002.5,Value447)
Insert(18.47,Value448)
Insert(-1359.9,Value449)
Insert(-1178.47,Value450)
Insert(-565.12,Value451)
Insert(-932.2,Value452)
Insert(1138.81,Value453)
Insert(1021.89,Value454)
Insert(-377.45,Value455)
Insert(-724.65,Value456)
Insert(86.79,Value457)
Insert(-1416.52,Value458)
Insert(126.83,Value459)
Insert(856.29,Value460)
Insert(-543.66,Value461)
Insert(281.96,Value462)
Insert(552.5,Value463)
Insert(-826.08,Value464)
Insert(1498.08,Value465)
Insert(919.36,Value466)
Insert(-1181.64,Value467)
Insert(725.72,Value468)
Insert(835.14,Value469)
Insert(168.06,Value470)
Insert(-344.87,Value471)
Insert(3.62,Value472)
Insert(-929.48,Value473)
Insert(-100.44,Value474)
Insert(-278.41,Value475)
Insert(-721.56,Value476)
Insert(-502.62,Value477)
Insert(-1093.71,Value478)
Insert(-1498.58,Value479)
Insert(-691.68,Value480)
Insert(-1092.7,Value481)
Insert(-1186.19,Value482)
Insert(1493.4,Value483)
Insert(1150.61,Value484)
Insert(251.8,Value485)
Insert(-1403.71,Value486)
Insert(-775.11,Value487)
Insert(777.66,Value488)
Insert(308.34,Value489)
Insert(156.75,Value490)
Insert(-138.04,Value491)
Insert(-1480.18,Value492)
Insert(-1265.14,Value493)
Insert(926.34,Value494)
Insert(-79.06,Value495)
Insert(-25.65,Value496)
Insert(452.9,Value497)
Insert(-455.21,Value498)
Insert(1116.73,Value499)
Insert(676.13,Value500)
Insert(144.92,Value501)
Insert(1004.91,Value502)
Insert(367.12,Value503)
Insert(509.95,Value504)
Insert(284.49,Value505)
Insert(-1100.05,Value506)
Insert(-916.28,Value507)
Insert(1353.85,Value508)
Insert(120.05,Value509)
Insert(-289.85,Value510)
Insert(232.9,Value511)
Insert(515.55,Value512)
Insert(-754.23,Value513)
Insert(819.14,Value514)
Insert(-1049.79,Value515)
Insert(-550.9,Value516)
Insert(-288.66,Value517)
Insert(-601.0,Value518)
Insert(254.51,Value519)
Insert(-1000.88,Value520)
Insert(-221.31,Value521)
Insert(1113.36,Value522)
Insert(181.53,Value523)
Insert(-1411.98,Value524)
Insert(-16.17,Value525)
Insert(314.1,Value526)
Insert(1329.04,Value527)
Insert(-511.37,Value528)
Insert(97.11,Value529)
Insert(274.25,Value530)
Insert(-365.03,Value531)
Insert(-253.65,Value532)
Insert(-627.51,Value533)
Insert(-856.02,Value534)
Insert(75.76,Value535)
Insert(-1131.77,Value536)
Insert(-528.12,Value537)
Insert(-1478.47,Value538)
Insert(-1106.52,Value539)
Insert(-115.85,Value540)
Insert(801.9,Value541)
Insert(661.97,Value542)
Insert(-539.61,Value543)
Insert(-673.36,Value544)
Insert(341.12,Value545)
Insert(468.6,Value546)
Insert(-1293.48,Value547)
Insert(1389.73,Value548)
Insert(288.44,Value549)
Insert(-400.81,Value550)
Insert(-1409.51,Value551)
Insert(1046.02,Value552)
Insert(194.75,Value553)
Insert(-1232.48,Value554)
Insert(-1036.97,Value555)
Insert(-691.39,Value556)
Insert(-1219.87,Value557)
Insert(-980.78,Value558)
Insert(-880.96,Value559)
Insert(1200.6,Value560)
Insert(-1499.18,Value561)
Insert(-1035.22,Value562)
Insert(742.1,Value563)
Insert(-503.91,Value564)
Insert(508.46,Value565)
Insert(372.58,Value566)
Insert(-398.76,Value567)
Insert(1011.99,Value568)
Insert(-404.23,Value569)
Insert(-1392.96,Value570)
Insert(1076.41,Value571)
Insert(1012.82,Value572)
Insert(1044.6,Value573)
Insert(1484.26,Value574)
Insert(1078.35,Value575)
Insert(-991.42,Value576)
Insert(-734.66,Value577)
Insert(1189.91,Value578)
Insert(707.41,Value579)
Insert(-426.07,Value580)
Insert(-199.63,Value581)
Insert(1142.78,Value582)
Insert(-1280.14,Value583)
Insert(170.42,Value584)
Insert(1463.02,Value585)
Insert(1359.36,Value586)
Insert(-725.61,Value587)
Insert(-1023.64,Value588)
Insert(1409.73,Value589)
Insert(797.05,Value590)
Insert(-399.35,Value591)
Insert(-260.3,Value592)
Insert(-741.78,Value593)
Insert(-295.65,Value594)
Insert(-1331.25,Value595)
Insert(-363.75,Value596)
Insert(475.82,Value597)
Insert(216.49,Value598)
Insert(1098.68,Value599)
Insert(1259.96,Value600)
Insert(780.79,Value601)
Insert(619.31,Value602)
Insert(1382.31,Value603)
Insert(-688.83,Value604)
Insert(1166.82,Value605)
Insert(1415.86,Value606)
Insert(1119.32,Value607)
Insert(-879.9,Value608)
Insert(-1337.86,Value609)
Insert(-719.07,Value610)
Insert(-752.64,Value611)
Insert(644.24,Value612)
Insert(-879.73,Value613)
Insert(24.49,Value614)
Insert(-962.97,Value615)
Insert(-1069.73,Value616)
Insert(320.16,Value617)
Insert(-1307.7,Value618)
Insert(-1095.26,Value619)
Insert(175.3,Value620)
Insert(-1348.9,Value621)
Insert(11.22,Value622)
Insert(-1347.54,Value623)
Insert(718.93,Value624)
Insert(1387.38,Value625)
Insert(-294.66,Value626)
Insert(759.89,Value627)
Insert(1468.92,Value628)
Insert(304.48,Value629)
Insert(543.51,Value630)
Insert(127.24,Value631)
Insert(-867.83,Value632)
Insert(1020.42,Value633)
Insert(1449.16,Value634)
Insert(490.74,Value635)
Insert(-1374.82,Value636)
Insert(-153.17,Value637)
Insert(1189.13,Value638)
Insert(-940.28,Value639)
Insert(162.41,Value640)
Insert(-991.99,Value641)
Insert(-409.0,Value642)
Insert(-693.03,Value643)
Insert(-720.15,Value644)
Insert(-1424.94,Value645)
Insert(-797.05,Value646)
Insert(1495.95,Value647)
Insert(1097.0,Value648)
Insert(536.42,Value649)
Insert(-175.93,Value650)
Insert(-569.38,Value651)
Insert(673.33,Value652)
Insert(439.87,Value653)
Insert(143.75,Value654)
Insert(965.69,Value655)
Insert(1174.29,Value656)
Insert(109.87,Value657)
Insert(1164.06,Value658)
Insert(-101.8,Value659)
Insert(889.0,Value660)
Insert(720.09,Value661)
Insert(1008.72,Value662)
Insert(-1014.32,Value663)
Insert(-1462.77,Value664)
Insert(-910.9,Value665)
Insert(650.14,Value666)
Insert(-1212.66,Value667)
Insert(-1202.44,Value668)
Insert(-337.92,Value669)
Insert(-626.45,Value670)
Insert(-214.0,Value671)
Insert(400.87,Value672)
Insert(1464.56,Value673)
Insert(-1115.83,Value674)
Insert(-1236.67,Value675)
Insert(399.27,Value676)
Insert(-900.21,Value677)
Insert(-137.45,Value678)
Insert(991.44,Value679)
Insert(761.0,Value680)
Insert(-772.59,Value681)
Insert(972.52,Value682)
Insert(-1148.64,Value683)
Insert(219.95,Value684)
Insert(936.31,Value685)
Insert(-408.01,Value686)
Insert(766.17,Value687)
Insert(892.6,Value688)
Insert(-896.81,Value689)
Insert(-882.82,Value690)
Insert(122.73,Value691)
Insert(1293.82,Value692)
Insert(624.98,Value693)
Insert(95.59,Value694)
Insert(386.09,Value695)
Insert(-29.01,Value696)
Insert(-1133.92,Value697)
Insert(1425.78,Value698)
Insert(1036.42,Value699)
Insert(414.71,Value700)
Insert(923.9,Value701)
Insert(-1083.58,Value702)
Insert(197.47,Value703)
Insert(-1186.8,Value704)
Insert(-577.17,Value705)
Insert(297.9,Value706)
Insert(-1064.54,Value707)
Insert(-47.99,Value708)
Insert(403.31,Value709)
Insert(-132.88,Value710)
Insert(-1357.29,Value711)
Insert(1248.33,Value712)
Insert(185.91,Value713)
Insert(203.12,Value714)
Insert(1156.42,Value715)
Insert(849.16,Value716)
Insert(-1409.93,Value717)
Insert(235.85,Value718)
Insert(-383.08,Value719)
Insert(-378.85,Value720)
Insert(578.8,Value721)
Insert(-1004.54,Value722)
Insert(193.1,Value723)
Insert(1273.03,Value724)
Insert(1495.39,Value725)
Insert(-799.83,Value726)
Insert(-1052.97,Value727)
Insert(1064.53,Value728)
Insert(-7.65,Value729)
Insert(-600.78,Value730)
Insert(454.33,Value731)
Insert(-389.88,Value732)
Insert(-210.28,Value733)
Insert(-324.56,Value734)
Insert(224.36,Value735)
Insert(-700.78,Value736)
Insert(-1442.47,Value737)
Insert(1093.21,Value738)
Insert(-1165.24,Value739)
Insert(-830.76,Value740)
Insert(-543.3,Value741)
Insert(-761.33,Value742)
Insert(1491.14,Value743)
Insert(487.9,Value744)
Insert(-321.9,Value745)
Insert(-75.96,Value746)
Insert(-548.75,Value747)
Insert(856.96,Value748)
Insert(1499.77,Value749)
Insert(-41.75,Value750)
Insert(-593.28,Value751)
Insert(478.17,Value752)
Insert(649.38,Value753)
Insert(538.53,Value754)
Insert(-549.33,Value755)
Insert(-645.47,Value756)
Insert(660.55,Value757)
Insert(1375.64,Value758)
Insert(874.62,Value759)
Insert(599.98,Value760)
Insert(-679.78,Value761)
Insert(70.75,Value762)
Insert(19.41,Value763)
Insert(-1431.74,Value764)
Insert(410.28,Value765)
Insert(228.33,Value766)
Insert(-1417.56,Value767)
Insert(1184.83,Value768)
Insert(-1143.63,Value769)
Insert(453.86,Value770)
Insert(-1299.75,Value771)
Insert(991.29,Value772)
Insert(684.63,Value773)
Insert(526.81,Value774)
Insert(-366.38,Value775)
Insert(-1453.81,Value776)
Insert(1156.95,Value777)
Insert(681.82,Value778)
Insert(-440.92,Value779)
Insert(182.22,Value780)
Insert(766.6,Value781)
Insert(-1448.86,Value782)
Insert(-143.64,Value783)
Insert(1306.31,Value784)
Insert(845.31,Value785)
Insert(1011.8,Value786)
Insert(-1200.02,Value787)
Insert(-1082.92,Value788)
Insert(1297.1,Value789)
Insert(-1178.74,Value790)
Insert(585.55,Value791)
Insert(513.7,Value792)
Insert(18.87,Value793)
Insert(-409.14,Value794)
Insert(181.29,Value795)
Insert(948.88,Value796)
Insert(1082.21,Value797)
Insert(-1460.81,Value798)
Insert(119.3,Value799)
Insert(610.34,Value800)
Insert(-1321.83,Value801)
Insert(597.53,Value802)
Insert(-658.31,Value803)
Insert(324.73,Value804)
Insert(-1123.01,Value805)
Insert(-307.28,Value806)
Insert(-446.01,Value807)
Insert(-1102.17,Value808)
Insert(1102.54,Value809)
Insert(-61.68,Value810)
Insert(-911.46,Value811)
Insert(-1337.11,Value812)
Insert(1037.45,Value813)
Insert(1023.89,Value814)
Insert(1327.21,Value815)
Insert(1332.34,Value816)
Insert(-991.69,Value817)
Insert(-733.46,Value818)
Insert(1084.89,Value819)
Insert(-1011.37,Value820)
Insert(-369.66,Value821)
Insert(969.64,Value822)
Insert(-384.49,Value823)
Insert(552.26,Value824)
Insert(-1268.58,Value825)
Insert(-408.3,Value826)
Insert(-179.43,Value827)
Insert(-103.61,Value828)
Insert(636.15,Value829)
Insert(-308.77,Value830)
Insert(-583.1,Value831)
Insert(-1196.13,Value832)
Insert(1208.06,Value833)
Insert(-1322.09,Value834)
Insert(324.97,Value835)
Insert(1322.27,Value836)
Insert(716.26,Value837)
Insert(549.88,Value838)
Insert(-184.93,Value839)
Insert(-1413.32,Value840)
Insert(1060.38,Value841)
Insert(1106.04,Value842)
Insert(-967.69,Value843)
Insert(-1061.6,Value844)
Insert(-896.58,Value845)
Insert(-487.37,Value846)
Insert(-176.72,Value847)
Insert(-1465.48,Value848)
Insert(1496.5,Value849)
Insert(-1054.71,Value850)
Insert(278.58,Value851)
Insert(1221.37,Value852)
Insert(-855.69,Value853)
Insert(603.92,Value854)
Insert(935.4,Value855)
Insert(649.02,Value856)
Insert(826.08,Value857)
Insert(1390.71,Value858)
Insert(1273.39,Value859)
Insert(1356.96,Value860)
Insert(723.82,Value861)
Insert(-417.25,Value862)
Insert(425.61,Value863)
Insert(-648.79,Value864)
Insert(-1024.32,Value865)
Insert(1227.91,Value866)
Insert(169.01,Value867)
Insert(516.17,Value868)
Insert(-145.07,Value869)
Insert(-1011.31,Value870)
Insert(1181.0,Value871)
Insert(1151.31,Value872)
Insert(855.59,Value873)
Insert(-137.86,Value874)
Insert(-1492.49,Value875)
Insert(83.23,Value876)
Insert(-703.42,Value877)
Insert(-791.75,Value878)
Insert(1211.14,Value879)
Insert(-142.22,Value880)
Insert(701.47,Value881)
Insert(1348.69,Value882)
Insert(-1255.04,Value883)
Insert(-1309.12,Value884)
Insert(-979.51,Value885)
Insert(1098.24,Value886)
Insert(598.11,Value887)
Insert(991.01,Value888)
Insert(-1418.82,Value889)
Insert(560.48,Value890)
Insert(-1007.77,Value891)
Insert(-1408.5,Value892)
Insert(11.13,Value893)
Insert(-753.57,Value894)
Insert(-12.66,Value895)
Insert(228.55,Value896)
Insert(-37.93,Value897)
Insert(770.19,Value898)
Insert(-64.48,Value899)
Insert(589.0,Value900)
Insert(669.0,Value901)
Insert(571.85,Value902)
Insert(537.12,Value903)
Insert(458.7,Value904)
Insert(323.03,Value905)
Insert(253.33,Value906)
Insert(-1401.07,Value907)
Insert(-36.31,Value908)
Insert(1495.76,Value909)
Insert(729.94,Value910)
Insert(1148.79,Value911)
Insert(1498.05,Value912)
Insert(-1441.52,Value913)
Insert(-1149.52,Value914)
Insert(1320.55,Value915)
Insert(714.43,Value916)
Insert(-899.94,Value917)
Insert(60.53,Value918)
Insert(1192.24,Value919)
Insert(-74.65,Value920)
Insert(358.92,Value921)
Insert(-1392.42,Value922)
Insert(91.19,Value923)
Insert(-867.83,Value924)
Insert(1229.62,Value925)
Insert(811.8,Value926)
Insert(253.6,Value927)
Insert(-1146.64,Value928)
Insert(-1353.6,Value929)
Insert(446.93,Value930)
Insert(-1275.32,Value931)
Insert(-1141.3,Value932)
Insert(-870.84,Value933)
Insert(184.78,Value934)
Insert(-1237.53,Value935)
Insert(-239.23,Value936)
Insert(-255.11,Value937)
Insert(1184.82,Value938)
Insert(483.79,Value939)
Insert(246.03,Value940)
Insert(-721.95,Value941)
Insert(-1116.48,Value942)
Insert(-900.29,Value943)
Insert(-128.91,Value944)
Insert(319.48,Value945)
Insert(1063.19,Value946)
Insert(1222.3,Value947)
Insert(1185.96,Value948)
Insert(-363.64,Value949)
Insert(-844.46,Value950)
Insert(-169.77,Value951)
Insert(-44.96,Value952)
Insert(1432.82,Value953)
Insert(-649.96,Value954)
Insert(-148.68,Value955)
Insert(1136.5,Value956)
Insert(912.25,Value957)
Insert(427.59,Value958)
Insert(331.55,Value959)
Insert(397.63,Value960)
Insert(428.71,Value961)
Insert(-295.55,Value962)
Insert(-259.85,Value963)
Insert(765.1,Value964)
Insert(-1435.64,Value965)
Insert(-650.29,Value966)
Insert(480.61,Value967)
Insert(-87.81,Value968)
Insert(-923.58,Value969)
Insert(-1153.45,Value970)
Insert(566.42,Value971)
Insert(-1449.54,Value972)
Insert(449.31,Value973)
Insert(1044.86,Value974)
Insert(984.46,Value975)
Insert(-1029.55,Value976)
Insert(114.83,Value977)
Insert(-1377.57,Value978)
Insert(768.73,Value979)
Insert(-827.27,Value980)
Insert(1080.82,Value981)
Insert(-1428.9,Value982)
Insert(-1302.86,Value983)
Insert(671.2,Value984)
Insert(1361.35,Value985)
Insert(1374.71,Value986)
Insert(1336.41,Value987)
Insert(-1155.47,Value988)
Insert(823.0,Value989)
Insert(53.36,Value990)
Insert(684.59,Value991)
Insert(-1221.94,Value992)
Insert(-451.89,Value993)
Insert(-307.13,Value994)
Insert(-947.38,Value995)
Insert(-1184.19,Value996)
Insert(-216.46,Value997)
Insert(-1125.89,Value998)
Insert(-1446.18,Value999)
Insert(-307.79,Value1000)
Insert(6.73,Value1001)
Insert(-907.32,Value1002)
Insert(114.03,Value1003)
Insert(-518.43,Value1004)
Insert(-1224.9,Value1005)
Insert(-687.33,Value1006)
Insert(-529.78,Value1007)
Insert(-537.5,Value1008)
Insert(-1396.95,Value1009)
