Insert(-41.41,Value0)
Insert(-928.73,Value386)
Insert(1491.69,Value387)
Insert(-1449.59,Value388)
Insert(-882.23,Value389)
Insert(-597.36,Value390)
Insert(1203.12,Value391)
Insert(306.84,Value392)
Insert(1328.14,Value393)
Insert(1290.46,Value394)
Insert(127.38,Value395)
Insert(-271.77,Value396)
Insert(93.57,Value397)
Insert(835.67,Value398)
Insert(-129.09,Value399)
Insert(1018.46,Value400)
Insert(-825.15,Value401)
Insert(838.02,Value402)
Insert(-989.19,Value403)
Insert(-964.41,Value404)
Insert(-316.17,Value405)
Insert(-256.41,Value406)
Insert(179.5,Value407)
Insert(-783.96,Value408)
Insert(-572.11,Value409)
Insert(1416.27,Value410)
Insert(-997.48,Value411)
Insert(-1473.92,Value412)
Insert(1046.31,Value413)
Insert(-883.94,Value414)
Insert(-1492.36,Value415)
Insert(1101.4,Value416)
Insert(792.41,Value417)
Insert(-786.18,Value418)
Insert(-1039.2,Value419)
Insert(-287.33,Value420)
Insert(484.48,Value421)
Insert(1410.55,Value422)
Insert(961.26,Value423)
Insert(465.41,Value424)
Insert(-1362.36,Value425)
Insert(-1026.63,Value426)
Insert(-918.58,Value427)
Insert(-1384.16,Value428)
Insert(-379.95,Value429)
Insert(653.34,Value430)
Insert(-1.75,Value431)
Insert(-1149.77,Value432)
Insert(268.01,Value433)
Insert(1287.17,Value434)
Insert(719.46,Value435)
Insert(1226.69,Value436)
Insert(1245.83,Value437)
Insert(474.88,Value438)
Insert(393.2,Value439)
Insert(-615.56,Value440)
Insert(560.73,Value441)
Insert(-437.29,Value442)
Insert(-1093.71,Value443)
Insert(-283.63,Value444)
Insert(-544.2,Value445)
Insert(-81.24,Value446)
Insert(-69.37,Value447)
Insert(-757.37,Value448)
Insert(636.81,Value449)
Insert(-49.17,Value450)
Insert(569.75,Value451)
Insert(-729.32,Value452)
Insert(-252.24,Value453)
Insert(1061.2,Value454)
Insert(412.23,Value455)
Insert(-1331.39,Value456)
Insert(-839.35,Value457)
Insert(1004.43,Value458)
Insert(1440.33,Value459)
Insert(317.56,Value460)
Insert(-740.54,Value461)
Insert(-87.71,Value462)
Insert(-402.05,Value463)
Insert(996.13,Value464)
Insert(-405.36,Value465)
Insert(-677.96,Value466)
Insert(-552.25,Value467)
Insert(1273.53,Value468)
Insert(1481.11,Value469)
Insert(-186.46,Value470)
Insert(1037.63,Value471)
Insert(221.31,Value472)
Insert(378.88,Value473)
Insert(1079.96,Value474)
Insert(-460.98,Value475)
Insert(1431.3,Value476)
Insert(1098.28,Value477)
Insert(1234.29,Value478)
Insert(1187.21,Value479)
Insert(302.33,Value480)
Insert(-524.32,Value481)
Insert(-398.79,Value482)
Insert(-827.79,Value483)
Insert(466.56,Value484)
Insert(1332.38,Value485)
Insert(-445.56,Value486)
Insert(926.1,Value487)
Insert(652.07,Value488)
Insert(-1244.27,Value489)
Insert(668.55,Value490)
Insert(527.22,Value491)
Insert(488.2,Value492)
Insert(-15.27,Value493)
Insert(460.47,Value494)
Insert(1012.56,Value495)
Insert(-398.63,Value496)
Insert(-45.21,Value497)
Insert(-1293.25,Value498)
Insert(1162.95,Value499)
Insert(1336.13,Value500)
Insert(-1118.43,Value501)
Insert(362.32,Value502)
Insert(-136.61,Value503)
Insert(956.65,Value504)
Insert(-783.65,Value505)
Insert(-115.34,Value506)
Insert(-103.83,Value507)
Insert(-998.76,Value508)
Insert(-342.59,Value509)
Insert(729.24,Value510)
Insert(-855.84,Value511)
Insert(-762.13,Value512)
Insert(-932.29,Value513)
Insert(-1362.05,Value514)
Insert(-1087.48,Value515)
Insert(-427.57,Value516)
Insert(437.38,Value517)
Insert(-1496.91,Value518)
Insert(578.89,Value519)
Insert(655.85,Value520)
Insert(1065.59,Value521)
Insert(-1254.84,Value522)
Insert(-1112.73,Value523)
Insert(-8.32,Value524)
Insert(-907.43,Value525)
Insert(-258.52,Value526)
Insert(1457.07,Value527)
Insert(-1003.35,Value528)
Insert(658.77,Value529)
Insert(249.43,Value530)
Insert(240.08,Value531)
Insert(1138.29,Value532)
Insert(1080.03,Value533)
Insert(-294.22,Value534)
Insert(1061.77,Value535)
Insert(-86.7,Value536)
Insert(-620.3,Value537)
Insert(940.37,Value538)
Insert(-1008.19,Value539)
Insert(-1337.06,Value540)
Insert(1409.53,Value541)
Insert(-996.75,Value542)
Insert(-1018.06,Value543)
Insert(1165.55,Value544)
Insert(1242.68,Value545)
Insert(-886.79,Value546)
Insert(953.58,Value547)
Insert(1163.68,Value548)
Insert(387.54,Value549)
Insert(599.41,Value550)
Insert(-1119.68,Value551)
Insert(-943.75,Value552)
Insert(89.34,Value553)
Insert(1126.34,Value554)
Insert(868.18,Value555)
Insert(-675.35,Value556)
Insert(-778.83,Value557)
Insert(-517.09,Value558)
Insert(468.57,Value559)
Insert(26.33,Value560)
Insert(1202.65,Value561)
Insert(-689.41,Value562)
Insert(326.97,Value563)
Insert(-350.32,Value564)
Insert(739.84,Value565)
Insert(-1018.33,Value566)
Insert(-1319.42,Value567)
Insert(223.65,Value568)
Insert(1272.68,Value569)
Insert(-178.56,Value570)
Insert(539.4,Value571)
Insert(-388.55,Value572)
Insert(-1183.32,Value573)
Insert(-538.34,Value574)
Insert(-59.83,Value575)
Insert(-557.66,Value576)
Insert(991.23,Value577)
Insert(-480.43,Value578)
Insert(-264.99,Value579)
Insert(579.22,Value580)
Insert(-644.32,Value581)
Insert(622.3,Value582)
Insert(572.46,Value583)
Insert(167.06,Value584)
Insert(-823.89,Value585)
Insert(1245.8,Value586)
Insert(-896.92,Value587)
Insert(650.77,Value588)
Insert(810.32,Value589)
Insert(-1399.48,Value590)
Insert(599.61,Value591)
Insert(-1121.16,Value592)
Insert(553.97,Value593)
Insert(-1109.65,Value594)
Insert(-504.61,Value595)
Insert(837.38,Value596)
Insert(-770.69,Value597)
Insert(-791.66,Value598)
Insert(-895.96,Value599)
Insert(-1366.67,Value600)
Insert(364.98,Value601)
Insert(1074.8,Value602)
Insert(1386.51,Value603)
Insert(-1245.13,Value604)
Insert(605.15,Value605)
Insert(-804.41,Value606)
Insert(-1469.03,Value607)
Insert(-766.84,Value608)
Insert(89.27,Value609)
Insert(756.73,Value610)
Insert(345.81,Value611)
Insert(-1121.62,Value612)
Insert(-990.77,Value613)
Insert(612.24,Value614)
Insert(-619.37,Value615)
Insert(1366.75,Value616)
Insert(-888.82,Value617)
Insert(3.72,Value618)
Insert(891.39,Value619)
Insert(-1298.79,Value620)
Insert(990.38,Value621)
Insert(1307.66,Value622)
Insert(624.55,Value623)
Insert(-1471.87,Value624)
Insert(254.38,Value625)
Insert(711.38,Value626)
Insert(1300.39,Value627)
Insert(-565.8,Value628)
Insert(1295.67,Value629)
Insert(756.03,Value630)
Insert(819.78,Value631)
Insert(-472.26,Value632)
Insert(-862.39,Value633)
Insert(1253.94,Value634)
Insert(-1173.64,Value635)
Insert(-930.43,Value636)
Insert(-13.9,Value637)
Insert(-802.72,Value638)
Insert(1221.72,Value639)
Insert(-127.28,Value640)
Insert(-120.09,Value641)
Insert(848.29,Value642)
Insert(-708.26,Value643)
Insert(917.56,Value644)
Insert(-1316.17,Value645)
Insert(539.76,Value646)
Insert(401.25,Value647)
Insert(37.51,Value648)
Insert(-1293.27,Value649)
Insert(-80.4,Value650)
Insert(-1190.22,Value651)
Insert(-717.79,Value652)
Insert(559.14,Value653)
Insert(585.43,Value654)
Insert(562.51,Value655)
Insert(-741.22,Value656)
Insert(-1497.59,Value657)
Insert(1260.66,Value658)
Insert(-1246.4,Value659)
Insert(579.41,Value660)
Insert(-162.98,Value661)
Insert(1466.73,Value662)
Insert(-56.36,Value663)
Insert(299.39,Value664)
Insert(804.1,Value665)
Insert(-305.93,Value666)
Insert(567.21,Value667)
Insert(921.96,Value668)
Insert(1210.53,Value669)
Insert(226.61,Value670)
Insert(52.78,Value671)
Insert(539.9,Value672)
Insert(378.79,Value673)
Insert(-898.49,Value674)
Insert(-1233.48,Value675)
Insert(-1468.68,Value676)
Insert(-247.8,Value677)
Insert(1215.39,Value678)
Insert(-228.07,Value679)
Insert(-522.9,Value680)
Insert(174.12,Value681)
Insert(-215.66,Value682)
Insert(-1077.64,Value683)
Insert(-832.38,Value684)
Insert(405.96,Value685)
Insert(-874.03,Value686)
Insert(1488.22,Value687)
Insert(-855.7,Value688)
Insert(1089.23,Value689)
Insert(759.57,Value690)
Insert(135.22,Value691)
Insert(451.38,Value692)
Insert(357.33,Value693)
Insert(252.04,Value694)
Insert(-1108.44,Value695)
Insert(1425.23,Value696)
Insert(-1257.03,Value697)
Insert(-1483.92,Value698)
Insert(1407.81,Value699)
Insert(254.22,Value700)
Insert(727.98,Value701)
Insert(-238.65,Value702)
Insert(-892.27,Value703)
Insert(954.77,Value704)
Insert(709.8,Value705)
Insert(-671.46,Value706)
Insert(429.5,Value707)
Insert(315.03,Value708)
Insert(-745.42,Value709)
Insert(-1016.78,Value710)
Insert(294.35,Value711)
Insert(-158.8,Value712)
Insert(-1185.9,Value713)
Insert(-334.11,Value714)
Insert(-743.06,Value715)
Insert(-578.26,Value716)
Insert(1056.45,Value717)
Insert(-182.49,Value718)
Insert(1232.08,Value719)
Insert(-264.31,Value720)
Insert(-285.16,Value721)
Insert(-450.55,Value722)
Insert(-309.14,Value723)
Insert(-259.95,Value724)
Insert(1404.0,Value725)
Insert(345.43,Value726)
Insert(-736.22,Value727)
Insert(1229.05,Value728)
Insert(492.39,Value729)
Insert(848.05,Value730)
Insert(-653.91,Value731)
Insert(32.3,Value732)
Insert(-1477.05,Value733)
Insert(184.1,Value734)
Insert(956.98,Value735)
Insert(-1460.6,Value736)
Insert(-957.7,Value737)
Insert(372.24,Value738)
Insert(-1141.92,Value739)
Insert(1077.49,Value740)
Insert(-968.67,Value741)
Insert(1044.19,Value742)
Insert(324.31,Value743)
Insert(-926.5,Value744)
Insert(1371.45,Value745)
Insert(-1020.1,Value746)
Insert(-553.69,Value747)
Insert(-545.94,Value748)
Insert(-1091.28,Value749)
Insert(-927.49,Value750)
Insert(689.59,Value751)
Insert(-400.04,Value752)
Insert(-272.4,Value753)
Insert(-1242.18,Value754)
Insert(68.69,Value755)
Insert(366.76,Value756)
Insert(75.25,Value757)
Insert(1155.43,Value758)
Insert(-560.41,Value759)
Insert(-1251.97,Value760)
Insert(-481.2,Value761)
Insert(292.02,Value762)
Insert(-509.87,Value763)
Insert(-732.53,Value764)
Insert(105.91,Value765)
Insert(1498.42,Value766)
Insert(-39.59,Value767)
Insert(-36.11,Value768)
Insert(135.64,Value769)
Insert(-816.17,Value770)
Insert(-1154.92,Value771)
Insert(-783.52,Value772)
Insert(-953.24,Value773)
Insert(1111.34,Value774)
Insert(1132.99,Value775)
Insert(-102.39,Value776)
Insert(-140.71,Value777)
Insert(1086.95,Value778)
Insert(-37.78,Value779)
Insert(784.57,Value780)
Insert(176.72,Value781)
Insert(315.8,Value782)
Insert(-1190.67,Value783)
Insert(-1182.69,Value784)
Insert(-650.34,Value785)
Insert(-1144.43,Value786)
Insert(810.16,Value787)
Insert(831.8,Value788)
Insert(768.98,Value789)
Insert(-861.96,Value790)
Insert(420.85,Value791)
Insert(-767.8,Value792)
Insert(-242.61,Value793)
Insert(871.03,Value794)
Insert(-968.25,Value795)
Insert(-253.69,Value796)
Insert(772.81,Value797)
Insert(-904.91,Value798)
Insert(-1343.16,Value799)
Insert(428.52,Value800)
Insert(-998.2,Value801)
Insert(-74.67,Value802)
Insert(1471.43,Value803)
Insert(1007.54,Value804)
Insert(233.11,Value805)
Insert(1321.49,Value806)
Insert(320.38,Value807)
Insert(965.72,Value808)
Insert(-924.7,Value809)
Insert(251.28,Value810)
Insert(399.71,Value811)
Insert(566.6,Value812)
Insert(-514.88,Value813)
Insert(-984.45,Value814)
Insert(357.49,Value815)
Insert(-1272.96,Value816)
Insert(-756.0,Value817)
Insert(-1040.04,Value818)
Insert(92.68,Value819)
Insert(-392.6,Value820)
Insert(-808.42,Value821)
Insert(-1405.83,Value822)
Insert(775.77,Value823)
Insert(870.07,Value824)
Insert(-83.62,Value825)
Insert(917.74,Value826)
Insert(1027.1,Value827)
Insert(-969.66,Value828)
Insert(-529.13,Value829)
Insert(1280.96,Value830)
Insert(-1292.34,Value831)
Insert(374.28,Value832)
Insert(355.04,Value833)
Insert(1245.92,Value834)
Insert(-1336.44,Value835)
Insert(-327.7,Value836)
Insert(844.82,Value837)
Insert(-519.4,Value838)
Insert(-214.39,Value839)
Insert(1011.55,Value840)
Insert(-106.05,Value841)
Insert(-1344.4,Value842)
Insert(1185.38,Value843)
Insert(221.61,Value844)
Insert(-1253.47,Value845)
Insert(-1430.78,Value846)
Insert(353.76,Value847)
Insert(950.31,Value848)
Insert(-1258.71,Value849)
Insert(-1342.31,Value850)
Insert(1091.55,Value851)
Insert(-405.73,Value852)
Insert(437.32,Value853)
Insert(10.82,Value854)
Insert(809.11,Value855)
Insert(891.01,Value856)
Insert(1470.49,Value857)
Insert(-754.85,Value858)
Insert(-243.51,Value859)
Insert(-1461.95,Value860)
Insert(-593.66,Value861)
Insert(18.7,Value862)
Insert(-974.89,Value863)
Insert(362.41,Value864)
Insert(-552.78,Value865)
Insert(-683.67,Value866)
Insert(-97.51,Value867)
Insert(-631.43,Value868)
Insert(405.22,Value869)
Insert(-1415.13,Value870)
Insert(-460.3,Value871)
Insert(-1219.32,Value872)
Insert(-292.29,Value873)
Insert(230.03,Value874)
Insert(657.07,Value875)
Insert(-638.19,Value876)
Insert(1362.99,Value877)
Insert(-609.36,Value878)
Insert(1233.47,Value879)
Insert(-217.77,Value880)
Insert(-1078.16,Value881)
Insert(679.02,Value882)
Insert(256.83,Value883)
Insert(516.01,Value884)
Insert(-682.92,Value885)
Insert(-732.6,Value886)
Insert(706.25,Value887)
Insert(68.27,Value888)
Insert(880.26,Value889)
Insert(1447.43,Value890)
Insert(793.41,Value891)
Insert(922.52,Value892)
Insert(-615.61,Value893)
Insert(1034.72,Value894)
Insert(-1102.93,Value895)
Insert(1381.08,Value896)
Insert(605.39,Value897)
Insert(-662.61,Value898)
Insert(737.62,Value899)
Insert(-764.7,Value900)
Insert(694.76,Value901)
Insert(1043.78,Value902)
Insert(1282.29,Value903)
Insert(-972.43,Value904)
Insert(306.11,Value905)
Insert(1250.74,Value906)
Insert(1178.64,Value907)
Insert(463.28,Value908)
Insert(-1208.14,Value909)
Insert(-1394.48,Value910)
Insert(1487.2,Value911)
Insert(-390.97,Value912)
Insert(-190.95,Value913)
Insert(1089.07,Value914)
Insert(-1024.25,Value915)
Insert(-490.31,Value916)
Insert(-41.53,Value917)
Insert(308.95,Value918)
Insert(-118.45,Value919)
Insert(-1044.82,Value920)
Insert(430.83,Value921)
Insert(448.99,Value922)
Insert(-1483.24,Value923)
Insert(605.93,Value924)
Insert(1327.84,Value925)
Insert(448.63,Value926)
Insert(-838.51,Value927)
Insert(-213.37,Value928)
Insert(211.99,Value929)
Insert(1199.91,Value930)
Insert(1499.24,Value931)
Insert(-103.85,Value932)
Insert(1231.47,Value933)
Insert(-313.0,Value934)
Insert(-203.72,Value935)
Insert(1102.38,Value936)
Insert(-1239.69,Value937)
Insert(343.3,Value938)
Insert(-959.79,Value939)
Insert(-1017.22,Value940)
Insert(386.63,Value941)
Insert(1168.4,Value942)
Insert(-973.36,Value943)
Insert(1006.61,Value944)
Insert(384.11,Value945)
Insert(386.5,Value946)
Insert(-45.42,Value947)
Insert(1353.51,Value948)
Insert(1249.94,Value949)
Insert(660.98,Value950)
Insert(-479.19,Value951)
Insert(1435.9,Value952)
Insert(846.14,Value953)
Insert(-1317.38,Value954)
Insert(-564.71,Value955)
Insert(800.0,Value956)
Insert(-1259.68,Value957)
Insert(-1467.21,Value958)
Insert(537.78,Value959)
Insert(1478.3,Value960)
Insert(48.11,Value961)
Insert(-861.16,Value962)
Insert(1078.89,Value963)
Insert(-1060.16,Value964)
Insert(-1050.72,Value965)
Insert(1136.11,Value966)
Insert(1233.52,Value967)
Insert(-1091.28,Value968)
Insert(1290.09,Value969)
Insert(1400.87,Value970)
Insert(403.81,Value971)
Insert(-558.27,Value972)
Insert(-762.49,Value973)
Insert(1301.08,Value974)
Insert(-1447.79,Value975)
Insert(342.56,Value976)
Insert(-1227.98,Value977)
Insert(1015.21,Value978)
Insert(1314.74,Value979)
Insert(-569.99,Value980)
Insert(-727.59,Value981)
Insert(1322.87,Value982)
Insert(883.87,Value983)
Insert(1295.22,Value984)
Insert(530.53,Value985)
Insert(444.82,Value986)
Insert(1330.96,Value987)
Insert(594.58,Value988)
Insert(94.2,Value989)
Insert(-332.36,Value990)
Insert(-222.61,Value991)
Insert(-613.95,Value992)
Insert(860.79,Value993)
Insert(-983.89,Value994)
Insert(-593.77,Value995)
Insert(284.47,Value996)
Insert(304.33,Value997)
Insert(-961.27,Value998)
Insert(-1051.33,Value999)
Insert(1092.43,Value1000)
Insert(493.96,Value1001)
Insert(-1461.92,Value1002)
Insert(-73.88,Value1003)
Insert(-713.43,Value1004)
Insert(-677.85,Value1005)
Insert(-840.79,Value1006)
Insert(376.52,Value1007)
Insert(986.76,Value1008)
Insert(-764.46,Value1009)
